"","lon","lat"
"1189",1.604815,42.848524
"1190",NA,NA
"1191",NA,NA
"1192",-95.712891,37.09024
"1193",-0.1277583,51.5073509
"1194",-116.9719684,33.7475203
"1195",NA,NA
"1196",-75.0931123,40.9256446
"1197",108.1428669,3.9456514
"1198",-77.0230313,38.7073379
"1199",NA,NA
"1200",-97.809055,30.282659
"1201",-118.6614809,34.1367208
"1202",-70.6080131,-33.3974214
"1203",NA,NA
"1204",-87.4205903,41.2914243
"1205",-82.7350514,28.2143574
"1206",-94.361916,45.9670161
"1207",-73.9202391,41.6002842
"1208",11.690976,45.7623333
"1209",-0.552764,48.850993
"1210",-0.7594171,52.0406224
"1211",-99.9018131,31.9685988
"1212",-95.712891,37.09024
"1213",-56.0475751,-15.5640324
"1214",-84.2988126,33.8920468
"1215",-86.8688899,35.9250637
"1216",-118.2436849,34.0522342
"1217",-117.2919818,33.0369867
"1218",NA,NA
"1219",NA,NA
"1220",-78.183406,-1.831239
"1221",-92.2670941,34.769536
"1222",100.1177133,14.4744144
"1223",-121.8863286,37.3382082
"1224",106.6527099,-6.2023936
"1225",87.932682,25.783585
"1226",NA,NA
"1227",-73.0443904,-36.8201352
"1228",9.1859243,45.4654219
"1229",3.057256,50.62925
"1230",NA,NA
"1231",-79.4017448,43.6464312
"1232",-80.1436057,40.7882723
"1233",-82.3313955,28.8354507
"1234",NA,NA
"1235",-51.92528,-14.235004
"1236",-90.256776,32.231676
"1237",32.5598994,15.5006544
"1238",NA,NA
"1239",-0.1277583,51.5073509
"1240",-87.6297982,41.8781136
"1241",-1.1743197,52.3555177
"1242",2.213749,46.227638
"1243",2.3522219,48.856614
"1244",NA,NA
"1245",4.835659,45.764043
"1246",-95.4183481,29.7351487
"1247",139.7148132,35.5620963
"1248",2.3522219,48.856614
"1249",-99.1591446,19.3794059
"1250",-42.370935,-19.3153414
"1251",-115.1466648,36.0971945
"1252",-98.4786269,28.967194
"1253",127.7,36.8
"1254",NA,NA
"1255",-9.3816589,38.8028687
"1256",-118.2436849,34.0522342
"1257",-122.159285,37.447978
"1258",-87.6297982,41.8781136
"1259",-86.3442107,34.3614336
"1260",-71.2519374,-29.9026691
"1261",-71.8022934,42.2625932
"1262",-111.980204,40.619161
"1263",-77.1945247,41.2033216
"1264",NA,NA
"1265",13.64157,51.01927
"1266",-74.0059413,40.7127837
"1267",-0.7888587,37.8321955
"1268",-43.1728965,-22.9068467
"1269",76.2710833,10.8505159
"1270",-71.4774291,41.5800945
"1271",4.966667,11.25
"1272",-8.224454,39.399872
"1273",18.0685808,59.3293235
"1274",-74.13799,40.781647
"1275",-80.8265627,27.2071351
"1276",-69.2168291,-51.6230485
"1277",-103.4067861,25.5428443
"1278",-58.4302476,-34.7611823
"1279",-51.92528,-14.235004
"1280",-115.1398296,36.1699412
"1281",-63.616672,-38.416097
"1282",-118.2436849,34.0522342
"1283",-111.9738304,41.223
"1284",NA,NA
"1285",-72.7420151,41.7620842
"1286",-122.4194155,37.7749295
"1287",-76.4730122,37.0870821
"1288",NA,NA
"1289",-74.0059413,40.7127837
"1290",-3.435973,55.378051
"1291",12.5683371,55.6760968
"1292",-71.0554052,42.3643104
"1293",-70.8967155,42.51954
"1294",-73.0443904,-36.8201352
"1295",-87.6297982,41.8781136
"1296",NA,NA
"1297",-86.7508323,34.8556441
"1298",-74.0110306,40.703295
"1299",NA,NA
"1300",-5.9844589,37.3890924
"1301",-48.4901968,-1.4557794
"1302",21.1414226,40.4527759
"1303",-94.1975786,41.0284183
"1304",-99.9018131,31.9685988
"1305",-3.518068,55.900708
"1306",3.3792057,6.5243793
"1307",-86.7816016,36.1626638
"1308",-73.087749,41.6032207
"1309",21.824312,39.074208
"1310",-90.1994042,38.6270025
"1311",21.824312,39.074208
"1312",-83.9625431,43.5142012
"1313",-84.3640829,33.7589188
"1314",106.6527099,-6.2023936
"1315",5.36978,43.296482
"1316",-83.985,42.43472
"1317",8.541694,47.3768866
"1318",-95.712891,37.09024
"1319",-0.1585385,51.5237715
"1320",9.8920632,56.3012924
"1321",-81.2078699,29.5844524
"1322",-118.2436849,34.0522342
"1323",-73.9196324,40.7432759
"1324",-76.3729962,41.2967482
"1325",-63.616672,-38.416097
"1326",-63.616672,-38.416097
"1327",-118.2436849,34.0522342
"1328",-84.3879824,33.7489954
"1329",NA,NA
"1330",-48.4901968,-1.4557794
"1331",-63.616672,-38.416097
"1332",NA,NA
"1333",NA,NA
"1334",37.6173,55.755826
"1335",-118.2436849,34.0522342
"1336",12.56738,41.87194
"1337",-78.6568942,37.4315734
"1338",-81.120805,44.582304
"1339",8.6821267,50.1109221
"1340",-0.1003609,51.5038443
"1341",138.252924,36.204824
"1342",-74.0059413,40.7127837
"1343",-85.6023643,44.3148443
"1344",-119.4179324,36.778261
"1345",103.819836,1.352083
"1346",-65.4231976,-24.7821269
"1347",-102.3396912,43.8553804
"1348",2.3912362,6.3702928
"1349",71.1923805,22.258652
"1350",2.213749,46.227638
"1351",-75.1652215,39.9525839
"1352",-95.712891,37.09024
"1353",-74.192924,41.1545395
"1354",NA,NA
"1355",-74.0059413,40.7127837
"1356",-71.2785583,42.5475383
"1357",NA,NA
"1358",-115.1398296,36.1699412
"1359",15.2,45.1
"1360",-122.4442906,47.2528768
"1361",-79.3870749,9.0669877
"1362",-64.2912369,-36.620922
"1363",17.0385376,51.1078852
"1364",-51.92528,-14.235004
"1365",-73.991658,40.7248189
"1366",NA,NA
"1367",NA,NA
"1368",-44.2829046,-2.5391099
"1369",-91.9623327,30.9842977
"1370",-58.3815591,-34.6036844
"1371",-71.3405513,44.077229
"1372",-74.4056612,40.0583238
"1373",-118.2436849,34.0522342
"1374",15.1822581,53.4657891
"1375",-73.9202391,41.6002842
"1376",-71.0588801,42.3600825
"1377",-4.2026458,56.4906712
"1378",-99.133208,19.4326077
"1379",-0.416969,51.38847
"1380",10.451526,51.165691
"1381",NA,NA
"1382",-95.712891,37.09024
"1383",19.6668956,46.5557842
"1384",NA,NA
"1385",-94.3748652,35.3700414
"1386",-97.0403352,32.8998091
"1387",-99.4658784,27.5182671
"1388",NA,NA
"1389",-91.1403196,30.4582829
"1390",-0.0671917,51.5172127
"1391",NA,NA
"1392",-84.3879824,33.7489954
"1393",-0.0692159,51.5163015
"1394",-71.0588801,42.3600825
"1395",-99.133208,19.4326077
"1396",-121.8863286,37.3382082
"1397",2.3522219,48.856614
"1398",-0.1277583,51.5073509
"1399",-0.25731,5.5459231
"1400",-74.0059413,40.7127837
"1401",NA,NA
"1402",-102.3396912,43.8553804
"1403",NA,NA
"1404",0.6673665,51.7659078
"1405",-1.1743197,52.3555177
"1406",-81.6943605,41.49932
"1407",NA,NA
"1408",-43.9344931,-19.9166813
"1409",NA,NA
"1410",-0.1277583,51.5073509
"1411",-97.0819541,32.8370727
"1412",NA,NA
"1413",-51.2176986,-30.0346316
"1414",25.48583,42.733883
"1415",-118.2489325,34.0566067
"1416",-1.880769,50.719164
"1417",-107.4338866,32.4507852
"1418",80.9461592,26.8467088
"1419",NA,NA
"1420",NA,NA
"1421",-51.92528,-14.235004
"1422",-121.530234,38.5804609
"1423",NA,NA
"1424",-82.6303288,28.0687805
"1425",4.4024643,51.2194475
"1426",-85.1393513,41.079273
"1427",-72.6412013,42.3250896
"1428",-120.7401386,47.7510741
"1429",-46.3399957,-23.9655056
"1430",-103.485862,25.5891476
"1431",-71.542969,-35.675147
"1432",-83.357567,33.9519347
"1433",-80.4549026,38.5976262
"1434",133.775136,-25.274398
"1435",NA,NA
"1436",-118.2436849,34.0522342
"1437",-119.4179324,36.778261
"1438",-79.3831843,43.653226
"1439",-74.0059413,40.7127837
"1440",NA,NA
"1441",-43.1728965,-22.9068467
"1442",NA,NA
"1443",-95.712891,37.09024
"1444",NA,NA
"1445",-118.2436849,34.0522342
"1446",-84.7996573,33.3806716
"1447",NA,NA
"1448",72.8776559,19.0759837
"1449",-120.6596156,35.2827524
"1450",139.6917064,35.6894875
"1451",-61.222503,10.691803
"1452",-74.4056612,40.0583238
"1453",113.921327,-0.789275
"1454",-58.3815591,-34.6036844
"1455",120.6736482,24.1477358
"1456",NA,NA
"1457",-1.3115949,49.114712
"1458",-73.9712488,40.7830603
"1459",-77.0368707,38.9071923
"1460",2.317384,48.816363
"1461",-58.2546051,-34.7206336
"1462",-94.5493052,38.9237185
"1463",-76.6412712,39.0457549
"1464",-102.4107493,34.2331373
"1465",135.4831008,34.5732536
"1466",NA,NA
"1467",-1.4043509,50.9097004
"1468",NA,NA
"1469",-75.6624122,41.408969
"1470",-119.4179324,36.778261
"1471",-77.0368707,38.9071923
"1472",101.975766,4.210484
"1473",-96.6851982,40.8257625
"1474",-74.0059413,40.7127837
"1475",6.2080932,48.8744233
"1476",-89.2476823,48.3808951
"1477",-63.616672,-38.416097
"1478",7.7521113,48.5734053
"1479",-79.9958864,40.4406248
"1480",-74.1004185,40.3042773
"1481",-73.9712488,40.7830603
"1482",-71.1586551,44.0991
"1483",NA,NA
"1484",-122.6764816,45.5230622
"1485",-96.7969879,32.7766642
"1486",-99.133208,19.4326077
"1487",-47.2147082,-22.8533412
"1488",-118.4694832,33.9850469
"1489",-95.712891,37.09024
"1490",-96.7132304,17.0542297
"1491",NA,NA
"1492",12.56738,41.87194
"1493",-121.8863286,37.3382082
"1494",120.907304,14.3214094
"1495",-98.9548261,18.8126047
"1496",-95.712891,37.09024
"1497",-55.491477,-8.783195
"1498",-84.3879824,33.7489954
"1499",-97.7264629,30.2688294
"1500",-121.3384447,38.544101
"1501",-122.009265,37.410829
"1502",-51.92528,-14.235004
"1503",NA,NA
"1504",-79.532157,43.8169837
"1505",-74.0059413,40.7127837
"1506",-5.93012,54.597285
"1507",-74.0059413,40.7127837
"1508",-3.3635421,40.4819791
"1509",100.992541,15.870032
"1510",NA,NA
"1511",-122.4194155,37.7749295
"1512",-85.1393513,41.079273
"1513",101.4477793,0.5070677
"1514",-0.1277583,51.5073509
"1515",-107.0082437,42.1968152
"1516",NA,NA
"1517",115.66283,-2.2179704
"1518",100.2743721,13.547535
"1519",-63.616672,-38.416097
"1520",-86.902298,32.3182314
"1521",10.451526,51.165691
"1522",-95.712891,37.09024
"1523",-95.712891,37.09024
"1524",-36.954107,-8.8137173
"1525",11.5819806,48.1351253
"1526",NA,NA
"1527",-3.74922,40.463667
"1528",-91.371615,39.9474329
"1529",-90.2618068,18.931225
"1530",-95.712891,37.09024
"1531",NA,NA
"1532",NA,NA
"1533",-79.532157,43.8169837
"1534",-0.0577919,51.5252961
"1535",44.3803921,35.4655761
"1536",-100.9855409,22.1564699
"1537",-71.0782651,42.3473129
"1538",4.8951679,52.3702157
"1539",-77.0368707,38.9071923
"1540",-73.966089,40.646903
"1541",-74.0059413,40.7127837
"1542",-52.0215415,-25.2520888
"1543",-74.0059413,40.7127837
"1544",-114.0168895,51.1250608
"1545",-72.5204827,9.967492
"1546",8.6821267,50.1109221
"1547",NA,NA
"1548",-74.4056612,40.0583238
"1549",101.4509506,3.0410722
"1550",NA,NA
"1551",-78.8783689,42.8864468
"1552",20.5264571,50.52034
"1553",-46.6089256,-22.2832272
"1554",-46.6333094,-23.5505199
"1555",-4.4213988,36.7212737
"1556",-51.92528,-14.235004
"1557",0.5217254,51.2787075
"1558",-85.5112879,12.283797
"1559",-51.92528,-14.235004
"1560",NA,NA
"1561",119.4131702,-5.1568868
"1562",-80.8486846,35.4993031
"1563",NA,NA
